Sample,Sim_Id,ARTCoverage,ARTCoverage--Beta-alpha,ARTCoverage--Beta-beta,AgeBin,Gender,Province,Result,Year,weight
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5506543868153175,2011.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.9117963427751884,2016.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4633317144244779,2011.5,1.0
16,3a782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7465610671112963,2016.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.2523696682464455,2011.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6083445491251682,2016.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.08089500860585197,2011.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.3449691991786448,2016.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.416010085092972,2011.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8178501262980634,2016.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.27587939698492464,2011.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.6007364544976328,2016.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5349686847599165,2011.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.9155092592592592,2016.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4571428571428571,2011.5,1.0
2,2c782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7439024390243902,2016.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.2531645569620253,2011.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6205567451820129,2016.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.07326283987915408,2011.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.3614457831325301,2016.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.4130596092010883,2011.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8254978443851365,2016.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.2797687861271677,2011.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.5971563981042654,2016.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5479833101529903,2011.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.912923923006416,2016.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4604519774011299,2011.5,1.0
12,36782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.7487288135593221,2016.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.2590618336886993,2011.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.5985445724681625,2016.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.07868020304568528,2011.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.36,674.92,1199.08,[15:25),Male,Swaziland,0.35195530726256985,2016.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.32,1202.92,2555.08,[25:35),Female,Swaziland,0.4146193509250834,2011.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.8,1741.0,435.9999999999999,[25:35),Female,Swaziland,0.8233024691358025,2016.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.21,520.96,1957.0400000000002,[25:35),Male,Swaziland,0.2847797645006542,2011.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.6,935.8,624.2,[25:35),Male,Swaziland,0.5912573231185219,2016.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.46,1045.2,1226.8000000000002,[35:45),Female,Swaziland,0.5454073689673067,2011.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.9,1184.5,132.49999999999997,[35:45),Female,Swaziland,0.9135944700460831,2016.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.4,491.40000000000003,736.6,[35:45),Male,Swaziland,0.4598240469208211,2011.5,1.0
8,32782597-b538-eb11-a2dd-c4346bcb7271,0.76,586.96,186.04,[35:45),Male,Swaziland,0.742814667988107,2016.5,1.0
17,3b782597-b538-eb11-a2dd-c4346bcb7271,0.18,727.3,3309.7000000000003,[15:25),Female,Swaziland,0.2609773371104816,2011.5,1.0
17,3b782597-b538-eb11-a2dd-c4346bcb7271,0.6,1403.2,935.8000000000001,[15:25),Female,Swaziland,0.6122961104140527,2016.5,1.0
17,3b782597-b538-eb11-a2dd-c4346bcb7271,0.08,239.08,2738.92,[15:25),Male,Swaziland,0.0867430441898527,2011.5,1.0
